table,drop,owners,depends_on
bigquery-public-data.covid19_public_forecasts.county_28d_historical_,x,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.japan_prefecture_28d,,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.japan_prefecture_28d_historical,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.japan_prefecture_28d
bigquery-public-data.covid19_public_forecasts.japan_prefecture_28d_historical_,x,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.state_14d,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.county_14d
bigquery-public-data.covid19_public_forecasts.state_14d_historical,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.state_14d
bigquery-public-data.covid19_public_forecasts.state_14d_historical_,x,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts.state_28d,,"Harvard Global Health Institute, Google","bigquery-public-data.covid19_public_forecasts.state_14d, bigquery-public-data.covid19_public_forecasts.county_28d"
bigquery-public-data.covid19_public_forecasts.state_28d_historical,,"Harvard Global Health Institute, Google",bigquery-public-data.covid19_public_forecasts.state_28d
bigquery-public-data.covid19_public_forecasts.state_28d_historical_,x,"Harvard Global Health Institute, Google",
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_14d,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_14d_historical,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_14d_historical_,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_28d,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_28d_historical,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.county_28d_historical_,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.japan_prefecture_28d,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.japan_prefecture_28d_historical,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.japan_prefecture_28d_historical_,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_14d,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_14d_historical,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_14d_historical_,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_28d,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_28d_historical,x,,
bigquery-public-data.covid19_public_forecasts_asia_ne1.state_28d_historical_,x,,
bigquery-public-data.covid19_rxrx19.rxrx19a_embeddings,x,,
bigquery-public-data.covid19_rxrx19.rxrx19a_metadata,x,,
bigquery-public-data.covid19_rxrx19.rxrx19b_embeddings,x,,
bigquery-public-data.covid19_rxrx19.rxrx19b_metadata,x,,
bigquery-public-data.covid19_symptom_search.symptom_search_country_daily,,Google,"bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_1_daily, bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_2_daily"
bigquery-public-data.covid19_symptom_search.symptom_search_country_weekly,,Google,"bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_1_weekly, bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_2_weekly"
bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_1_daily,,Google,
bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_1_weekly,,Google,bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_1_daily
bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_2_daily,,Google,
bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_2_weekly,,Google,bigquery-public-data.covid19_symptom_search.symptom_search_sub_region_2_daily
bigquery-public-data.covid19_usafacts.confirmed_cases,,USAFacts,
bigquery-public-data.covid19_usafacts.deaths,,USAFacts,
bigquery-public-data.covid19_usafacts.summary,,USAFacts,"bigquery-public-data.covid19_usafacts.confirmed_cases, bigquery-public-data.covid19_usafacts.deaths"
bigquery-public-data.covid19_weathersource_com.county_day_forecast,,Weather Source,bigquery-public-data.covid19_weathersource_com.county_day_history
bigquery-public-data.covid19_weathersource_com.county_day_history,,Weather Source,bigquery-public-data.covid19_weathersource_com.postal_code_day_history
bigquery-public-data.covid19_weathersource_com.postal_code_day_forecast,,Weather Source,bigquery-public-data.covid19_weathersource_com.postal_code_day_history
bigquery-public-data.covid19_weathersource_com.postal_code_day_history,,Weather Source,
bigquery-public-data.covid19_tracking.city_level_cases_and_deaths,x,,
bigquery-public-data.covid19_tracking.covid_racial_data_tracker,x,,
bigquery-public-data.covid19_tracking.national_testing_and_outcomes,x,,
bigquery-public-data.covid19_tracking.state_facility_level_long_term_care,x,,
bigquery-public-data.covid19_tracking.state_level_aggregate_long_term_care,x,,
bigquery-public-data.covid19_tracking.state_level_cumulative_long_term_care,x,,
bigquery-public-data.covid19_tracking.state_level_current_outbreak_long_term_care,x,,
bigquery-public-data.covid19_tracking.state_screenshots,x,,
bigquery-public-data.covid19_tracking.state_testing_and_outcomes,x,,
